0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SansHead,LookLeft,,,,,,
0,SansText,Or Are you a total bad           guy?,,,,,,
0,SansText,That's not who you are.is           it?,,,,,,
0,SansHead,Defult,,,,,,
0,PlatformRepeat,513,346,121,2,150,90,220
0,PlatformRepeat,-71,306,161,0,150,90,280
0,SET,Loop,99,,,,,
0,JMPZ,32,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,BoneV,517,257,45,2,120,,
0.2,JMPABS,12,,,,,,
0,BoneV,125,306,40,0,120,,
0.2,JMPABS,12,,,,,,
0,BoneV,517,349,35,2,120,,
0.2,JMPABS,12,,,,,,
0,BoneV,517,257,45,2,120,2,
0.2,JMPABS,12,,,,,,
0,BoneV,125,306,40,0,120,2,
0.2,JMPABS,12,,,,,,
0,BoneV,517,349,35,2,120,2,
0.2,JMPABS,12,,,,,,
0.4,EndAttack,,,,,,,
