0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,SansHead,Closedeyes,,,,,,
0,SansText,heh heh heh¡­,,,,,,
0,SansText,The old peace is gone¡­,,,,,,
0,SansHead,Noeyes,,,,,,
0,SansText,that's your fault.isn't it?,,,,,,
0,SansHead,Default,,,,,,
0,Platform,15,346,31,0,150,,
0.4,BoneVRepeat,133,356,40,0,135,133,15
1.2,Platform,-61,346,21,0,150,,
1.7,Platform,-61,346,21,0,180,,
1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0,Platform,15,346,31,0,150,,
,,,,,,,,
1.2,Platform,-61,346,21,0,180,,
1.7,Platform,-61,346,21,0,210,,
1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,40,0,210,,
0.1,BoneV,133,257,34,0,210,,
0.1,BoneV,133,257,31,0,210,,
0.1,BoneV,133,257,28,0,210,,
0.1,BoneV,133,257,24,0,210,,
0.1,BoneV,133,257,28,0,210,,
0.1,BoneV,133,257,31,0,210,,
0.1,BoneV,133,257,34,0,210,,
0,Platform,15,346,31,0,225,,
0.1,BoneV,133,257,40,0,210,,
0.1,BoneV,133,257,45,0,210,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1,Platform,-61,346,21,0,150,,
1.7,Platform,-61,346,21,0,180,,
1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
0.1,BoneV,133,257,45,0,210,,
1.7,BoneV,133,257,95,0,270,,
1.7,EndAttack,,,,,,,
