0,CombatZoneResize,113,231,548,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,SansTorso,Shrug,,,,,,,
0,SansHead,Tired1,,,,,,,
0,SansText,Look.I gave up trying to          go back a long time ago,,,,,,,
0,SansTorso,Default,,,,,,,
0,SansHead,Default,,,,,,,
0,Platform,151,336,21,0,90,1,,
0,HeartTeleport,175,327,,,,,,
0,BoneVRepeat,528,366,40,0,60,250,15,
0,BoneVRepeat,283,267,49,3,90,99,89,
0,BoneVRepeat,363,331,47,1,120,99,87,
0,BoneVRepeat,443,248,65,3,90,99,95,
0,BoneVRepeat,203,267,40,1,120,99,75,
0,GasterBlaster,2,113,0,113,131,90,0,25
0,GasterBlaster,2,548,0,548,131,90,0,25
17.7,EndAttack,,,,,,,,
